0,9.4
2000,9.4
4000,12.8
6000,161.8
8000,56.0
10000,134.6
12000,364.4
14000,145.6
16000,103.2
18000,105.2
20000,135.4
22000,110.0
24000,101.2
26000,169.6
28000,144.0
30000,137.0
32000,176.6
34000,168.2
36000,133.2
38000,209.4
40000,134.6
42000,214.4
44000,406.2
46000,198.6
48000,130.2
50000,122.8
52000,144.4
54000,128.0
56000,243.2
58000,103.8
60000,138.8
62000,216.8
64000,301.2
66000,100.4
68000,108.2
70000,197.6
72000,239.8
74000,120.4
76000,88.0
78000,189.0
80000,104.6
82000,238.0
84000,91.2
86000,138.2
88000,204.6
90000,102.2
92000,160.4
94000,435.2
96000,91.0
98000,315.0
100000,101.2
