millis,pdsi,system:index
1156312800000,2.382084191462366,20060823
1156744800000,2.296369656345804,20060828
1157176800000,2.210172974974217,20060902
1157608800000,2.1272506972830403,20060907
1158040800000,2.0391806587902166,20060912
1158472800000,1.9456388037083736,20060917
1158904800000,1.8418875784563877,20060922
1159336800000,1.7142097143393424,20060927
1159768800000,1.5863618982271679,20061002
1160200800000,1.4826674229567702,20061007
1160632800000,1.3919492388841832,20061012
1161064800000,1.29627857840541,20061017
1161496800000,1.1907715517288064,20061022
1161928800000,1.0715415333264902,20061027
1162360800000,0.8957067807652993,20061101
1162792800000,0.7550010245071358,20061106
1163224800000,0.5855481877909162,20061111
1163656800000,0.48113028261777246,20061116
1164088800000,0.3444725298668805,20061121
1164520800000,0.2021068133623239,20061126
1164952800000,0.054261068818612326,20061201
1165384800000,-0.12555293503107845,20061206
1165816800000,-0.31487270169251746,20061211
1166248800000,-0.5069565594579711,20061216
1166680800000,-0.6810099726928368,20061221
1167112800000,-0.852389056398949,20061226
1167544800000,-0.9974214385936712,20061231
1167976800000,-1.1183661142347192,20070105
1168408800000,-1.2369984435054935,20070110
1168840800000,-1.3471025009886095,20070115
1169272800000,-1.4512826872789577,20070120
1169704800000,-1.5313750941258144,20070125
1170136800000,-1.626474009589499,20070130
1170568800000,-1.7008486103802507,20070204
1171000800000,-1.7727471961839836,20070209
1171432800000,-1.8149931375989965,20070214
1171864800000,-1.8644742073674168,20070219
1172296800000,-1.882543157214779,20070224
1172728800000,-1.8652992937581367,20070301
1173160800000,-1.8558424166449035,20070306
1173592800000,-1.8563342007841919,20070311
1174024800000,-1.9143070853527215,20070316
1174456800000,-1.948558073456039,20070321
1174888800000,-1.9959040563036157,20070326
1175320800000,-2.069722811895851,20070331
1175752800000,-2.1309607421898833,20070405
1176184800000,-2.196445440562233,20070410
1176616800000,-2.243710981696171,20070415
1177048800000,-2.30021216202481,20070420
1177480800000,-2.317140413493637,20070425
1177912800000,-2.3409903059373,20070430
1178344800000,-2.314405015395257,20070505
1178776800000,-2.280638074646214,20070510
1179208800000,-2.265362451680006,20070515
1179640800000,-2.2661625521693765,20070520
1180072800000,-2.311491357063118,20070525
1180504800000,-2.3922326483151464,20070530
1180936800000,-2.4978074250189044,20070604
1181368800000,-2.5645113667059682,20070609
1181800800000,-2.620697722091528,20070614
1182232800000,-2.6660470648205896,20070619
1182664800000,-2.718981052219935,20070624
1183096800000,-2.766481841296386,20070629
1183528800000,-2.805883306102001,20070704
1183960800000,-2.8430333009763458,20070709
1184392800000,-2.8676140625978577,20070714
1184824800000,-2.8778059293424647,20070719
1185256800000,-2.8856582667872854,20070724
1185688800000,-2.8790611029747657,20070729
1186120800000,-2.864501227878924,20070803
1186552800000,-2.846305559564457,20070808
1186984800000,-2.822873231443674,20070813
1187416800000,-2.8038097833894886,20070818
1187848800000,-2.787617627071641,20070823
1188280800000,-2.767000383158147,20070828
1188712800000,-2.719268538479104,20070902
1189144800000,-2.6720719298430557,20070907
1189576800000,-2.6319734485056876,20070912
1190008800000,-2.5989491401468436,20070917
1190440800000,-2.528922788061768,20070922
1190872800000,-2.4745622952258968,20070927
1191304800000,-2.4332364713437484,20071002
1191736800000,-2.364625634070637,20071007
1192168800000,-2.2698100150169553,20071012
1192600800000,-2.180050615749818,20071017
1193032800000,-2.101349018609073,20071022
1193464800000,-2.0638331598327975,20071027
1193896800000,-2.0442835792177427,20071101
1194328800000,-2.049035601209118,20071106
1194760800000,-2.102906785174629,20071111
1195192800000,-2.150369940313573,20071116
1195624800000,-2.222842686567813,20071121
1196056800000,-2.2930300514194815,20071126
1196488800000,-2.3774933848308,20071201
1196920800000,-2.43296975905245,20071206
1197352800000,-2.4562113585873173,20071211
1197784800000,-2.4944297776545414,20071216
1198216800000,-2.5332129788452535,20071221
1198648800000,-2.5476952599746077,20071226
1199080800000,-2.551460318127979,20071231
1199512800000,-2.4832171533184124,20080105
1199944800000,-2.435833572814354,20080110
1200376800000,-2.3894361965387083,20080115
1200808800000,-2.3437677888681394,20080120
1201240800000,-2.2969009191407386,20080125
1201672800000,-2.1990861807360096,20080130
1202104800000,-2.1172861878374953,20080204
1202536800000,-2.0594287178567785,20080209
1202968800000,-2.0054269923104173,20080214
1203400800000,-1.9636533322022762,20080219
1203832800000,-1.8542382609273373,20080224
1204264800000,-1.803687903615704,20080229
1204696800000,-1.8238025079519262,20080305
1205128800000,-1.8515349572638082,20080310
1205560800000,-1.8640446201936591,20080315
1205992800000,-1.853271425301056,20080320
1206424800000,-1.9197791397172574,20080325
1206856800000,-1.9794290488098958,20080330
1207288800000,-2.035168627608559,20080404
1207720800000,-2.098333134711601,20080409
1208152800000,-2.1719782107997894,20080414
1208584800000,-2.2716881758836425,20080419
1209016800000,-2.386465367698124,20080424
1209448800000,-2.513966509059752,20080429
1209880800000,-2.651113609712562,20080504
1210312800000,-2.7889005938380182,20080509
1210744800000,-2.9362408499840535,20080514
1211176800000,-3.073022276610693,20080519
1211608800000,-3.1961281364289706,20080524
1212040800000,-3.2554695427727074,20080529
1212472800000,-3.3099799862707537,20080603
1212904800000,-3.3476885790716464,20080608
1213336800000,-3.3677788637302344,20080613
1213768800000,-3.362468964210877,20080618
1214200800000,-3.3743575055653614,20080623
1214632800000,-3.43436860567555,20080628
1215064800000,-3.4822517450850596,20080703
1215496800000,-3.512719592526931,20080708
1215928800000,-3.517187784074454,20080713
1216360800000,-3.4919559453912274,20080718
1216792800000,-3.4655883254846813,20080723
1217224800000,-3.4290271466349007,20080728
1217656800000,-3.388207229213675,20080802
1218088800000,-3.34290030944122,20080807
1218520800000,-3.3081209948588643,20080812
1218952800000,-3.291224303269889,20080817
1219384800000,-3.2763650828712034,20080822
1219816800000,-3.2588842019455377,20080827
1220248800000,-3.244324361440859,20080901
1220680800000,-3.233647578586496,20080906
1221112800000,-3.2281146221135013,20080911
1221544800000,-3.233384868108602,20080916
1221976800000,-3.2457824001066866,20080921
1222408800000,-3.2733766868037626,20080926
1222840800000,-3.3026896397698766,20081001
1223272800000,-3.2504433869058147,20081006
1223704800000,-3.2050973872269446,20081011
1224136800000,-3.1756939122091254,20081016
1224568800000,-3.159586128398319,20081021
1225000800000,-3.159840541096117,20081026
1225432800000,-3.1552860556133893,20081031
1225864800000,-3.0101723310105837,20081105
1226296800000,-2.8900177997223473,20081110
1226728800000,-2.798508971905493,20081115
1227160800000,-2.7423058085086156,20081120
1227592800000,-2.7082656399001794,20081125
1228024800000,-2.6701843338852225,20081130
1228456800000,-2.7106233947837457,20081205
1228888800000,-2.773918495153735,20081210
1229320800000,-2.8087497239316597,20081215
1229752800000,-2.829969307638446,20081220
1230184800000,-2.7802277868861043,20081225
1230616800000,-2.757699508376787,20081230
1231135200000,-2.739321406625976,20090105
1231567200000,-2.7303472428182127,20090110
1231999200000,-2.7281589023184676,20090115
1232431200000,-2.7397383826853803,20090120
1232863200000,-2.7423965563560726,20090125
1233295200000,-2.751111244526966,20090130
1233727200000,-2.759061955243097,20090204
1234159200000,-2.7387870797157587,20090209
1234591200000,-2.711756099277244,20090214
1235023200000,-2.652293290109232,20090219
1235455200000,-2.6139222815659444,20090224
1235887200000,-2.565640706067938,20090301
1236319200000,-2.462808988888729,20090306
1236751200000,-2.3894897130737647,20090311
1237183200000,-2.328994160161302,20090316
1237615200000,-2.2899734804309557,20090321
1238047200000,-2.276399424518835,20090326
1238479200000,-2.2665944856752827,20090331
1238911200000,-2.316536078194132,20090405
1239343200000,-2.3555348178747835,20090410
1239775200000,-2.388754409795537,20090415
1240207200000,-2.4329431658008343,20090420
1240639200000,-2.499120860161194,20090425
1241071200000,-2.547267019386006,20090430
1241503200000,-2.438570260149974,20090505
1241935200000,-2.367780168376569,20090510
1242367200000,-2.283868488856835,20090515
1242799200000,-2.2142249298768544,20090520
1243231200000,-2.147823566663156,20090525
1243663200000,-2.0611507967075413,20090530
1244095200000,-2.0941401095505587,20090604
1244527200000,-2.0834253992636502,20090609
