imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt6157294,Entre dos aguas,Entre dos aguas,2018,2018-11-30,Drama,136,Spain,Spanish,Isaki Lacuesta,"Fran Araújo, Isa Campo",All Go Movies,"Israel Gómez Romero, Francisco José Gómez Romero, Óscar Rodríguez","Isra and Cheíto are two brothers who have gone their separate ways. When Isra comes out of prison and Cheíto's long mission in the navy comes to an end, they both return to the isle of San ...",6.5,589,,,$ 87763,,,19.0
tt2409642,Ghetu Putro Komola,Ghetu Putro Komola,2012,2012-09-07,"Drama, Musical",101,Bangladesh,Bengali,Humayun Ahmed,"Humayun Ahmed, Humayun Ahmed",Impress Telefilm,"Mamun, Tariq Anam Khan, Munmun Ahmed, Jayanto Chattopadhyay, Agun, Pran Roy, Abdullah Rana, Shamima Nazneen, Tamalika Karmakar, Sucismita Anwar Prapti, Masud Akhond, Rahmat Ali, Ehsanur Rahman, Jewel Rana, Rousso",Story of a teenage boy who is hired by a colonial era landlord to entertain him until the annual flood is over.,7.4,1450,,,,,3.0,2.0
tt0093119,Grizzly II: The Predator,Grizzly II: The Predator,1983,1983,"Horror, Music, Thriller",97,USA,English,André Szöts,"Ross Massbaum, Joan McCall",GBGB International,"Steve Inwood, Deborah Raffin, John Rhys-Davies, Louise Fletcher, Deborah Foreman, Dick Anthony Williams, Jack Starrett, Charles Cyphers, Marc Alaimo, Laura Dern, Barbie Wilde, Ian McNeice, Charles Young, George Clooney, Richard Jaeckel","All hell breaks loose when a giant Grizzly, reacting to the slaughter of Grizzlies by poachers, attacks at a massive big-band rock concert in the National Park.",3.5,385,$ 7500000,,,,13.0,17.0
tt5917052,Jindua,Jindua,2017,2017-03-17,Family,136,India,Punjabi,Navaniat Singh,Dheeraj Rattan,Infantry Pictures,"Jimmy Sheirgill, Neeru Bajwa, Harjap Singh Bhangal, Matt Blais, Raj Brar, Sonia Dhillon, Balinder Johal, Arkie Kandola, Carolyn Bridget Kennedy, Naresh Kumar, Sargun Mehta, Bhavkhandan Singh Rakhra, Nina Rehill, Zay Zemadam","In Calgary, a young Indian man attempts to gain citizenship by marrying a woman wanting to be a rock star while harboring feelings for the girl next door.",6.6,204,CAD 4000000,,$ 15526,,8.0,
tt4920312,Gilberts grusomme hevn,Gilberts grusomme hevn,2016,2016-09-16,"Comedy, Drama",90,Norway,Norwegian,Hanne Larsen,"Hanne Larsen, Kathrine Valen Zeiner",Maipo Film,"Simon Hobbel Rosendahl, Gisken Armand, Hannah Dybvand, Frida Hallgren, Egil Hegerberg, Sindre-Benedict Hendrichs, Max Julian Kleven, Kristian Riise","Gilberts allergy towards eggs, leads to bullying and embarrassment. He tries to keep the allergy a secret, but when his awful aunt is to babysit him, she tries to poison him with eggs. But ...",5.9,105,NOK 12830000,,$ 645590,,,1.0
tt5730248,Involution,Involution,2018,2018-02-26,"Drama, Sci-Fi, Thriller",86,"Russia, Germany",English,Pavel Khvaleev,"Vladimir Burtcev, Aleksandra Khvaleeva",Monomania Films,"Ryan Masson, Dennis Hurley, Merlin Leonhardt, Adam Giannone, Karsten Mielke, Alyona Konstantinova","A future that's reality is a far cry from the one we live in today. The Earth has been sent out of control, affected by a cruel and inhuman mechanism that turns back Darwin's theory of Evolution.",3.6,245,,,,,2.0,2.0
tt0019182,La canzone della mamma,Mother Machree,1927,1927-12-19,Drama,75,USA,,John Ford,"Rida Johnson Young, Gertrude Orr",Fox Film Corporation,"Belle Bennett, Philippe De Lacy, Victor McLaglen, Ted McNamara, Billy Platt, Eulalie Jensen, Constance Howard, Pat Somerset, Neil Hamilton, Vondell Darr","Ellen McHugh, a poor Irish immigrant to America, finds work in a carnival and is thus able to send her son Brian to a fine school. But when her position is found out, the school expels ...",5.3,116,$ 750000,,,,1.0,3.0
tt1703826,Le café du pont,Le café du pont,2010,2010-08-04,"Comedy, Drama, History",95,France,French,Manuel Poirier,"Manuel Poirier, Pierre Perret",Récifilms,"Bernard Campan, Cécile Rebboah, Thomas Durastel, Julien Demarty, Robert Garrouste, Bernard Le Gall, Sacha Bourdo, Loïc Baylacq, Philippe Mangione, Denis Haerens, Philippe Escande, Lucy Harrison, Jean-Louis Reynes, Cédrick Lanoë, Luca Sartori","Ten-year-old Pierrot is just another kid. For the time being, he grows with his younger brother Jeannot in a flat above ""Le Café du Pont"", run by his loving parents, a place that attracts ...",4.8,100,,,,,3.0,2.0
tt2355823,Sag Salim,Sag Salim,2012,2012-05-18,Comedy,98,Turkey,Turkish,Ersoy Güler,"Ersoy Güler, Alper Erze",Gülen Adam Film,"Burçin Bildik, Fulya Zenginer, Alper Saldiran, Kenan Ece, Murat Akkoyunlu, Kamil Güler, Kevork Türker, Orçun Kaptan, Tevfik Inceoglu, Yakup Yavru, Hasan Demircan, Hidayet Çakir, Pinar Televi, Alper Yanar, Hüseyin Avni Danyal","This fast paced farce begins with an apparently innocuous request from a village elder to take a recently deceased man to his home village for proper burial. Salim, the simple village man ...",6.4,5116,TRL 1000000,,$ 300466,,1.0,2.0
tt1514834,Oggi sposi,Oggi sposi,2009,2009-10-23,"Comedy, Romance",118,Italy,Italian,Luca Lucini,"Fabio Bonifacci, Fausto Brizzi",Cattleya,"Luca Argentero, Moran Atias, Dario Bandiera, Isabella Ragonese, Carolina Crescentini, Filippo Nigro, Francesco Montanari, Gabriella Pession, Michele Placido, Renato Pozzetto, Lunetta Savino, Hassani Shapi, Francesco Pannofino, Caterina Guzzanti, Vitalba Andrea","Nicola, a policeman in Puglia, is a reformed ladies' man with his heart set on marrying the daughter of the Indian ambassador.",6.1,415,,,$ 4814840,,,10.0
